id,x,y,z,qx,qy,qz,qw
94,-40.018,230.903,-7.25896,-0.00539502,0.015621,0.954678,0.297183
95,-43.612,233.425,-7.35213,-0.0205861,0.0183851,0.957615,0.286727
96,-47.2829,235.897,-7.55962,-0.0172742,0.0131969,0.959308,0.281522
97,-50.9421,238.334,-7.71712,-0.0156121,0.0093791,0.959964,0.279533
98,-54.4828,240.686,-7.85529,-0.0165747,0.01222,0.960109,0.278867
99,-58.0708,243.052,-8.0098,-0.0186304,0.0114064,0.960608,0.277048
100,-61.7683,245.489,-8.16628,-0.0165898,0.0132801,0.960854,0.276238
101,-65.1243,247.676,-8.30245,-0.00758234,0.0168282,0.964503,0.26343
102,-68.8195,249.841,-8.38693,-0.0107567,0.0249242,0.9755,0.218318
103,-72.914,251.375,-8.5368,-0.0191958,0.0287201,0.994781,0.0960047
104,-77.0612,251.673,-8.68051,-0.0125053,0.033856,0.997633,-0.0585373
105,-81.123,250.618,-8.71214,-0.0096716,0.0305912,0.972509,-0.230648
106,-84.478,248.29,-8.652,0.000407843,0.0254628,0.914821,-0.403057
107,-86.7601,244.818,-8.5146,-0.0153401,-0.0253423,-0.794959,0.60594
108,-86.9391,240.623,-8.28966,-0.0188367,-0.0283824,-0.603584,0.796571
109,-85.0521,236.973,-8.02808,-0.022139,-0.0213794,-0.411921,0.9107
110,-81.9285,234.08,-7.79865,-0.0220645,-0.0112416,-0.313544,0.949251
111,-78.3918,231.58,-7.66162,-0.020601,-0.00444113,-0.277982,0.960355
112,-74.772,229.262,-7.56091,-0.0264247,-0.00490164,-0.269163,0.96272
113,-70.8704,226.803,-7.43626,-0.0266971,-0.00655587,-0.269567,0.962589
114,-67.4506,224.626,-7.31536,-0.0290015,-0.00580569,-0.268287,0.962885
115,-63.9698,222.426,-7.1848,-0.0284962,-0.00655769,-0.267382,0.963147
116,-60.3739,220.122,-7.04747,-0.0248131,-0.0138216,-0.269434,0.9626
117,-56.9245,217.92,-6.87809,-0.0240197,-0.0152154,-0.271646,0.961977
118,-53.3875,215.635,-6.67757,-0.0209298,0.000263505,-0.276709,0.960726
119,-50.0589,213.392,-6.60376,-0.0193986,-0.000892767,-0.280906,0.959539
120,-46.2905,210.85,-6.52322,-0.0215587,-0.00150082,-0.285054,0.958268
121,-42.63,208.373,-6.42373,-0.0235896,-0.00073135,-0.280467,0.959573
122,-38.9752,205.972,-6.31347,-0.0253817,-0.000689133,-0.274845,0.961153
123,-35.6267,203.757,-6.2012,-0.0221223,-0.0110668,-0.278006,0.960261
124,-32.0339,201.377,-6.01222,-0.021681,-0.00203605,-0.289306,0.956989
125,-28.7448,198.887,-5.94858,-0.0156566,0.00492941,-0.36033,0.93268
126,-26.227,195.666,-5.88562,-0.024197,-0.00174548,-0.536728,0.843406
127,-25.5874,191.601,-5.72964,-0.0185112,-0.00914952,-0.74762,0.663807
128,-26.9726,187.871,-5.57601,-0.00663113,-0.00966223,-0.862333,0.506206
129,-29.1901,184.598,-5.50526,0.00264855,0.00888675,0.885866,-0.463849
130,-31.6949,181.076,-5.45053,0.00319915,0.00743285,0.881191,-0.47269
131,-34.0394,177.617,-5.38648,0.00221953,0.00712083,0.874291,-0.485345
132,-36.3503,174.02,-5.32566,0.00588435,0.00343576,0.875378,-0.483392
133,-38.7421,170.439,-5.2472,0.0131902,0.00521309,0.878102,-0.478265
134,-41.0926,166.96,-5.12927,0.0106284,0.00541372,0.876226,-0.481753
135,-43.2935,163.595,-5.01277,0.00965976,0.00750442,0.871357,-0.490496
136,-45.4696,160.104,-4.8807,0.00852904,0.00593472,0.869202,-0.494348
137,-47.7193,156.687,-4.75976,0.000415008,0.00194777,0.893924,-0.448215
138,-50.7412,153.758,-4.74298,-0.00237218,-0.00235463,0.958991,-0.283415
139,-54.5109,152.357,-4.77099,-0.00277549,-0.00231277,0.997167,-0.075128
140,-58.4881,152.593,-4.79618,0.000327188,0.0026606,0.994629,0.103472
141,-62.577,154.094,-4.8265,-0.0188499,0.0103127,0.97759,0.209421
142,-66.423,156.136,-5.00374,-0.0138986,0.00322281,0.968238,0.249623
143,-69.8974,158.235,-5.11414,-0.00990775,0.00354792,0.96466,0.263288
144,-73.4695,160.485,-5.1982,-0.0112574,0.00523661,0.963554,0.267229
145,-77.1147,162.808,-5.28872,-0.010109,0.00613326,0.962512,0.270981
146,-80.7849,165.188,-5.36776,-0.00845931,0.00589246,0.961362,0.275095
147,-84.5126,167.632,-5.44773,-0.018488,0.00655863,0.960248,0.278459
148,-87.8219,169.845,-5.61474,-0.0217812,0.00739619,0.959262,0.281582
149,-91.1546,172.104,-5.79499,-0.0195665,0.00481144,0.958571,0.284138
150,-94.9053,174.664,-5.96133,-0.0186253,0.00201327,0.9579,0.28649
151,-98.5135,177.159,-6.09427,-0.0178121,0.00199884,0.957321,0.288474
152,-101.945,179.56,-6.21051,-0.0180188,0.00302632,0.956569,0.290933
153,-105.544,182.11,-6.34493,-0.0122544,0.00529922,0.956351,0.291915
154,-108.802,184.417,-6.43398,-0.0132739,0.00718873,0.956948,0.289866
155,-112.178,186.674,-6.52219,-0.0212519,0.0122732,0.968133,0.249231
156,-116.235,188.417,-6.71513,-0.0181292,0.0155739,0.994505,0.101929
157,-120.614,188.534,-6.85075,-0.0168204,0.0149639,0.993627,-0.110441
158,-124.554,186.723,-6.94272,-0.00983399,0.0163852,0.93642,-0.350359
159,-127.046,183.5,-6.92525,-0.00209759,-0.0234284,-0.830303,0.556815
160,-127.866,179.118,-6.76172,-0.00548446,-0.0248203,-0.684095,0.728951
161,-127.021,175.093,-6.56697,-0.00688426,-0.0236376,-0.544601,0.838334
162,-124.783,171.38,-6.35009,-0.00636271,-0.0233912,-0.414816,0.909582
163,-121.778,168.509,-6.17845,-0.0111667,-0.00277834,-0.315767,0.948767
164,-118.197,166.125,-6.1162,-0.015146,-0.00733537,-0.251898,0.967607
165,-114.258,163.932,-5.99752,-0.0230851,-0.00678249,-0.247114,0.968688
166,-110.805,161.884,-5.88367,-0.0217286,-0.00709814,-0.258771,0.965668
167,-107.339,159.743,-5.7683,-0.0213268,-0.00854789,-0.267987,0.963149
168,-103.725,157.388,-5.63137,-0.0185848,-0.0127415,-0.27848,0.960178
169,-100.266,155.037,-5.46826,-0.0165255,-0.0176839,-0.286947,0.957641
170,-96.7719,152.589,-5.26387,-0.0118052,-0.0116005,-0.291687,0.95637
171,-93.1776,150.034,-5.15348,-0.00957517,-0.00185417,-0.29582,0.955194
172,-89.6901,147.516,-5.09971,-0.0143842,-0.00592363,-0.29886,0.95417
173,-86.1827,144.969,-4.99776,-0.0162555,-0.00437702,-0.298622,0.954223
174,-82.7321,142.476,-4.90106,-0.0145232,-0.00730291,-0.296283,0.954962
175,-79.4979,140.139,-4.78389,-0.0144527,-0.0087303,-0.289434,0.957049
176,-75.8259,137.77,-4.65077,-0.00996161,-0.0152227,-0.230748,0.972844
177,-71.8284,136.132,-4.49991,-0.00497221,0.00195244,-0.120616,0.992685
178,-67.7726,135.539,-4.50054,-0.00600896,0.00480032,0.00434157,0.999961
179,-63.6157,136.035,-4.51035,-0.0131455,0.00778819,0.147602,0.988929
180,-59.7325,137.796,-4.56639,-0.0189851,0.00731849,0.298689,0.954134
181,-56.5735,140.609,-4.64555,-0.0113075,-0.00265511,0.43327,0.901189
182,-54.1236,143.858,-4.6749,-0.0138261,-0.00605171,0.466891,0.884186
183,-51.7578,147.305,-4.69841,-0.0151345,-0.00698916,0.481105,0.876505
184,-49.5047,150.7,-4.70396,-0.0129323,-0.0046528,0.483845,0.875046
185,-47.1043,154.313,-4.72382,-0.0148568,0.00337167,0.48125,0.876451
186,-44.6342,158.005,-4.82794,-0.019391,0.00834537,0.479471,0.877304
187,-42.3514,161.404,-4.93417,-0.0202491,0.00908604,0.480388,0.876775
188,-40.1253,164.734,-5.0472,-0.0223375,0.00759505,0.479941,0.876984
189,-37.8796,168.091,-5.15691,-0.0255777,0.0045733,0.481384,0.876125
190,-35.7362,171.481,-5.26814,-0.0161256,0.00214361,0.535389,0.844449
191,-34.5405,175.322,-5.35128,-0.00929362,0.00530256,0.690198,0.723541
192,-35.0192,179.332,-5.428,0.00051615,0.00963357,0.830237,0.557327
193,-37.1746,182.833,-5.46847,0.0152183,0.00724097,0.918176,0.395814
194,-40.3417,185.62,-5.37953,0.0223235,0.00516337,0.952482,0.303731
195,-43.7532,187.974,-5.21045,0.0196809,0.00480455,0.960769,0.276608
196,-47.4083,190.339,-5.07412,0.013702,0.00414367,0.961812,0.27334
197,-50.7985,192.544,-4.98462,0.0162396,0.00215576,0.961365,0.274786
198,-54.1593,194.749,-4.87908,0.0143746,0.00461149,0.961658,0.273835
199,-57.6628,197.039,-4.7873,0.0135101,0.00488114,0.961261,0.275264
200,-61.1684,199.341,-4.68429,0.0103378,0.00754016,0.960917,0.276542
201,-64.6036,201.612,-4.60919,0.0107621,0.00651655,0.961187,0.275609
202,-68.2242,203.982,-4.53465,0.00953365,0.00554575,0.961459,0.274727
203,-71.6704,206.238,-4.46277,0.0102083,0.0059891,0.961342,0.275101
204,-75.1539,208.517,-4.40143,0.0112954,0.0057674,0.961515,0.27446
205,-78.5545,210.736,-4.32509,0.00746737,0.0076801,0.961796,0.273557
206,-82.2424,213.106,-4.26117,0.00322075,0.00850886,0.963157,0.268788
207,-85.6951,215.292,-4.20518,0.00569981,0.00702845,0.963568,0.267312
208,-89.169,217.535,-4.15301,0.000356846,0.00696694,0.957429,0.288583
209,-92.4278,220.069,-4.2188,-0.0283287,0.0110149,0.929254,0.368189
210,-94.8791,223.588,-4.46288,-0.0275214,0.00100593,0.825951,0.563071
211,-95.3232,227.955,-4.64021,-0.0326467,-0.00365582,0.641773,0.766191
212,-93.5132,231.649,-4.74826,-0.0361449,0.00244611,0.412061,0.910436
213,-89.8447,233.982,-4.827,-0.0396799,-0.00552014,0.147573,0.988239
214,-85.7959,234.186,-4.76332,-0.0335621,-0.0121362,-0.0764488,0.996435
215,-82.0184,232.892,-4.59417,-0.0255807,-0.00487889,-0.216529,0.975929
216,-78.2704,230.713,-4.49244,-0.0251226,-0.00563615,-0.269171,0.962748
217,-74.8853,228.536,-4.40763,-0.0282098,-0.00677884,-0.273523,0.961428
218,-71.3221,226.239,-4.2719,-0.0294615,-0.000970935,-0.274079,0.961255
219,-67.6489,223.868,-4.14957,-0.0321595,-0.00554292,-0.272688,0.961549
220,-64.09,221.572,-3.9866,-0.0306947,-0.0102294,-0.27,0.962316
221,-60.5744,219.334,-3.82526,-0.02636,-0.0128811,-0.267831,0.963019
222,-57.093,217.141,-3.66669,-0.0226841,-0.00840118,-0.26547,0.963816
223,-53.5811,214.955,-3.51988,-0.0206995,-0.00206372,-0.264541,0.96415
224,-50.1215,212.801,-3.42795,-0.0222924,-0.0035155,-0.266242,0.963642
225,-46.6733,210.619,-3.34331,-0.0243807,-0.00350447,-0.271045,0.962251
226,-42.8851,208.133,-3.26607,-0.0244725,-0.00155991,-0.284194,0.958453
227,-39.45,205.694,-3.15622,-0.0252382,-0.00438628,-0.305236,0.951932
228,-36.2276,203.185,-3.0069,-0.0207603,-0.00574443,-0.315197,0.948782
229,-32.7332,200.555,-2.85842,-0.0193158,-0.00749747,-0.28231,0.959099
230,-29.1026,198.502,-2.78054,-0.0126705,0.0060482,-0.176203,0.984254
231,-25.0253,197.656,-2.8055,-0.0169571,0.00208303,0.0144937,0.999749
232,-20.7503,198.601,-2.83459,-0.0192498,0.00314772,0.232164,0.972481
233,-17.3618,201.121,-2.91282,-0.0178577,0.006633,0.428472,0.903354
234,-15.313,204.748,-3.03853,-0.0194229,0.012358,0.603069,0.797357
235,-14.8449,208.889,-3.21549,-0.0150672,0.0134407,0.752051,0.658795
236,-16.1452,213.015,-3.3714,-0.00345406,0.0155392,0.871971,0.489299
237,-18.6756,216.092,-3.43218,-0.00603477,0.015977,0.935598,0.352653
238,-21.8222,218.545,-3.54222,-0.0122348,0.0148448,0.956751,0.290272
239,-25.3366,220.87,-3.67145,-0.012588,0.0117555,0.962332,0.271334
240,-28.9438,223.139,-3.78007,-0.0127417,0.0131381,0.964549,0.263268
241,-32.6039,225.398,-3.87715,-0.00833796,0.0123354,0.965326,0.260622
242,-36.2508,227.621,-3.97608,-0.00824032,0.0124675,0.965261,0.260857
243,-39.9351,229.898,-4.08284,-0.0103508,0.0145598,0.964202,0.264564
244,-43.6625,232.226,-4.19961,-0.0181016,0.0143307,0.963276,0.267517
245,-47.3305,234.557,-4.34983,-0.0196371,0.0159752,0.962595,0.269761
246,-51.0887,236.944,-4.52555,-0.0198332,0.012994,0.96208,0.271732
247,-54.8046,239.343,-4.72799,-0.0154231,0.0105698,0.961931,0.272651
248,-58.4432,241.71,-4.87329,-0.00993512,0.00958778,0.960988,0.276246
249,-62.0318,244.091,-4.96842,-0.0161992,0.0117511,0.959474,0.281086
250,-65.4353,246.413,-5.07404,-0.0133166,0.014751,0.958175,0.285491
251,-68.9051,248.828,-5.18977,-0.0136203,0.0206211,0.959235,0.281525
252,-72.3691,250.915,-5.35969,-0.0186976,0.0242748,0.978217,0.205312
253,-76.535,252.056,-5.51544,-0.00887455,0.0257365,0.999516,0.0150919
254,-80.6849,251.463,-5.53724,-0.00376191,0.0265836,0.979815,-0.1981
255,-84.2041,249.159,-5.46874,-0.000293798,0.0235534,0.914078,-0.404854
256,-86.6761,245.677,-5.36852,-0.00511961,-0.0227062,-0.863588,0.503664
257,-88.732,242.162,-5.22843,-0.00579559,-0.0237412,-0.861278,0.507545
258,-90.9849,238.385,-5.07949,0.00644792,0.0249023,0.868331,-0.495317
259,-93.3792,234.68,-4.92748,0.00546047,0.0254137,0.876812,-0.480129
260,-95.7571,231.264,-4.7771,-0.00258567,0.0199833,0.884494,-0.466116
261,-98.4126,227.694,-4.70998,-0.00377772,0.0207124,0.890215,-0.455054
262,-101.125,224.162,-4.64032,-0.00444115,0.0254832,0.890705,-0.453845
263,-103.819,220.579,-4.55356,-0.00265619,0.0232372,0.888604,-0.458078
264,-106.379,217.109,-4.46883,-0.00256408,0.0204613,0.886152,-0.462935
265,-108.875,213.647,-4.39404,-0.00184207,0.0235836,0.881641,-0.471328
266,-111.319,210.102,-4.29914,-0.00239916,0.0254724,0.876606,-0.480528
267,-113.584,206.651,-4.19462,-0.000426372,0.0263706,0.87287,-0.48724
268,-115.862,203.13,-4.08369,0.00318957,0.0242984,0.874681,-0.484078
269,-118.202,199.636,-3.97763,-0.0107242,0.0198818,0.876198,-0.481422
270,-120.563,196.13,-3.9597,-0.00831925,0.0223007,0.878064,-0.477951
271,-122.851,192.801,-3.91878,-0.00813546,0.0238206,0.879142,-0.475894
272,-125.142,189.472,-3.87084,-0.00727119,0.0222066,0.878397,-0.47736
273,-127.353,185.944,-3.815,0.00392148,-0.0211605,-0.849684,0.526852
274,-128.792,182.076,-3.72394,0.000606881,-0.0205301,-0.761258,0.648124
275,-128.831,177.991,-3.59425,-0.00318604,-0.0177383,-0.629893,0.776473
276,-127.361,174.055,-3.43417,-0.00903112,-0.0251161,-0.474158,0.880035
277,-124.57,170.889,-3.19965,-0.0110756,-0.0210574,-0.331279,0.943233
278,-121.165,168.506,-3.04389,-0.0136677,-0.00932954,-0.266298,0.963749
279,-117.474,166.288,-2.92384,-0.0162004,-0.00450347,-0.257976,0.966005
280,-113.704,163.983,-2.80405,-0.0179796,-0.00406111,-0.266405,0.963685
281,-110.063,161.673,-2.69943,-0.0213892,-0.00878131,-0.270922,0.962324
282,-106.391,159.313,-2.55447,-0.0222708,-0.0164096,-0.27211,0.961869
283,-102.749,156.941,-2.37557,-0.0170897,-0.0155962,-0.273949,0.961466
284,-99.2241,154.649,-2.18838,-0.015999,-0.0095011,-0.275473,0.961129
285,-95.6712,152.307,-2.02979,-0.0126928,-0.00429209,-0.277171,0.960727
286,-92.1459,149.957,-1.93941,-0.0120154,-0.00618799,-0.278346,0.960386
287,-88.573,147.58,-1.86823,-0.0137153,-0.00655418,-0.284109,0.958671
288,-84.8828,145.015,-1.77017,-0.0155249,-0.00213779,-0.294545,0.955509
289,-81.3877,142.466,-1.66088,-0.01468,-0.00460049,-0.303573,0.952684
290,-78.081,139.984,-1.53485,-0.0134261,-0.00934042,-0.303118,0.952813
291,-74.8283,137.674,-1.40302,-0.0106964,-0.0105062,-0.267119,0.963547
292,-70.9926,135.657,-1.33533,-0.00781881,-0.000149398,-0.17438,0.984647
293,-66.7839,134.583,-1.31418,-0.0098479,6.37437e-05,-0.037366,0.999253
294,-62.7228,134.821,-1.28533,-0.0084742,-0.00114879,0.131617,0.991264
295,-58.8064,136.527,-1.29156,-0.00935398,-0.000293603,0.30958,0.950827
296,-55.6824,139.471,-1.33974,-0.00719312,0.00539048,0.46827,0.88354
297,-54.0361,143.246,-1.40513,-0.00716335,0.00725952,0.664571,0.747156
298,-54.4715,147.406,-1.48795,-0.00977337,0.0077955,0.836309,0.548117
299,-56.8249,150.668,-1.56136,-0.00386476,0.00662615,0.93981,0.341611
300,-60.2908,152.992,-1.59277,-0.00532422,0.00671747,0.971362,0.237454
301,-63.9116,154.846,-1.69538,-0.0162954,0.0047933,0.974275,0.224718
302,-67.8314,156.938,-1.85237,-0.0155231,0.00447619,0.970372,0.241076
303,-71.3646,158.978,-1.96449,-0.0126177,0.0030295,0.966607,0.255937
304,-74.9467,161.201,-2.03452,-0.00854821,0.00469366,0.963279,0.268327
305,-78.4856,163.467,-2.11965,-0.00700939,0.00348668,0.962265,0.272003
306,-82.097,165.812,-2.20358,-0.00998491,0.00795093,0.961824,0.27337
307,-85.7105,168.151,-2.28386,-0.0222883,0.00999505,0.96144,0.27393
308,-89.3412,170.503,-2.45124,-0.0239276,0.00699798,0.96141,0.273988
309,-92.9705,172.86,-2.6406,-0.019975,0.00406355,0.961601,0.273692
310,-96.6962,175.277,-2.82772,-0.0192662,0.00276794,0.961423,0.274386
311,-100.229,177.587,-2.96504,-0.0179617,0.00356043,0.961465,0.274316
312,-103.744,179.876,-3.07273,-0.019025,0.00463544,0.961308,0.27478
313,-107.198,182.144,-3.18731,-0.0124949,0.00440017,0.960529,0.277865
314,-110.568,184.417,-3.28159,-0.010008,0.00342005,0.955374,0.295209
315,-113.84,187.074,-3.40791,-0.0308533,0.00277882,0.924574,0.379741
316,-116.324,190.446,-3.63004,-0.0327887,0.000284799,0.853491,0.520078
317,-117.487,194.37,-3.80872,-0.026871,-0.00406923,0.749114,0.661883
318,-117.145,198.327,-3.90852,-0.0308161,-0.00445285,0.59031,0.806576
319,-114.812,201.831,-3.9949,-0.0322445,-0.00417603,0.347441,0.937138
320,-110.973,203.635,-4.00607,-0.0324373,-0.00790272,0.0923554,0.995166
321,-106.87,203.447,-3.90724,-0.0313684,-0.0162887,-0.122524,0.991836
322,-103.226,201.856,-3.70674,-0.0278589,-0.0263133,-0.252381,0.966869
323,-99.7515,199.455,-3.39391,-0.0250495,-0.0428336,-0.30912,0.949728
324,-96.5938,197.038,-3.03309,-0.0235985,-0.0398098,-0.30577,0.95098
325,-93.2642,194.583,-2.63988,-0.0220022,-0.0336379,-0.299193,0.953346
326,-89.7141,192.057,-2.26281,-0.0245058,-0.0347889,-0.289999,0.95608
327,-86.1237,189.601,-1.90834,-0.0266265,-0.0388936,-0.281567,0.958383
328,-82.4544,187.166,-1.5571,-0.0252281,-0.0418314,-0.27484,0.960248
329,-78.7235,184.744,-1.16283,-0.0237344,-0.0349693,-0.274635,0.960619
330,-75.3758,182.561,-0.819288,-0.0232185,-0.0291442,-0.274191,0.960953
331,-71.6483,180.148,-0.468102,-0.0238808,-0.0313684,-0.27137,0.961667
332,-67.9267,177.77,-0.136122,-0.0254999,-0.0353229,-0.267129,0.962675
333,-64.1417,175.445,0.191253,-0.0257555,-0.038946,-0.257536,0.96514
334,-60.5608,173.327,0.549601,-0.0225343,-0.0292314,-0.248215,0.968002
335,-56.8673,171.215,0.881966,-0.025896,-0.0297467,-0.253951,0.966413
